Height,Weight
5.59336,78319.05
5.82163,89389.76
5.702566,86411.91
5.661121,83712.89
5.707943,81614.73
5.43701,72349.38
5.848777,89758.83
5.925342,98551.75
5.703963,85233.31
5.451713,80223.05
5.64173,83981.74
6.185253,101290.7
5.930601,93867.68
5.602562,77571.92
5.656711,79479.68
5.614696,78612.21
5.730102,82157.29
5.975437,91901.83
5.781747,90650.78
6.143042,101384.5
5.787779,99455.36
5.898855,95805.92
5.980703,91080.81
5.778619,94714.44
5.4405,73218.86
5.910151,94272.72
5.716386,82023.6
5.716981,80202.09
5.789893,88270.71
5.494239,73939.32
5.710276,78594.18
6.160758,97803.52
5.933159,95315.34
5.54638,83933.72
5.978521,85259.58
5.812067,85357.45
5.562552,81438.82
5.8077,96033.79
5.866957,89671.57
5.751642,84498.74
